Title;Reference;
Are machine learning cloud apis used correctly?;WAN, Chengcheng, LIU, Shicheng, HOFFMANN, Henry, et al. Are machine learning cloud apis used correctly? In 2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE). 2021. ;
Understanding performance problems in deep learning systems;CAO, Junming, CHEN, Bihuan, SUN, Chao, et al. Understanding performance problems in deep learning systems. In: Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering. ;
Software-engineering design patterns for machine learning applications.;WASHIZAKI, Hironori, KHOMH, Foutse, GUÉHÉNEUC, Yann-Gaël, et al. Software-engineering design patterns for machine learning applications. Computer, 2022, vol. 55, no 3, p. 30-39. ;
23 shades of self-admitted technical debt: An empirical study on machine learning software;OBRIEN, David, BISWAS, Sumon, IMTIAZ, Sayem, et al. 23 shades of self-admitted technical debt: An empirical study on machine learning software. In: Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering. 2022. p. 734-746. ;
Data leakage in notebooks: Static detection and better processes;YANG, Chenyang, BROWER-SINNING, Rachel A., LEWIS, Grace, et al. Data leakage in notebooks: Static detection and better processes. In: Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering. 2022. p. 1-12. ;
Compatibility Issues in Deep Learning Systems: Problems and Opportunities.;WANG, Jun, XIAO, Guanping, ZHANG, Shuai, et al. Compatibility Issues in Deep Learning Systems: Problems and Opportunities. In: Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering. 2023. p. 476-488. ;
Discovering repetitive code changes in python ml systems.;DILHARA, Malinda, KETKAR, Ameya, SANNIDHI, Nikhith, et al. Discovering repetitive code changes in python ml systems. In: Proceedings of the 44th International Conference on Software Engineering. 2022. p. 736-748. ;
Collaboration challenges in building ml-enabled systems: Communication, documentation, engineering, and process.;NAHAR, Nadia, ZHOU, Shurui, LEWIS, Grace, et al. Collaboration challenges in building ml-enabled systems: Communication, documentation, engineering, and process. In: Proceedings of the 44th international conference on software engineering. 2022. p. 413-425. ;
 A meta-summary of challenges in building products with ml components–collecting experiences from 4758+ practitioners;NAHAR, Nadia, ZHANG, Haoran, LEWIS, Grace, et al. A meta-summary of challenges in building products with ml components–collecting experiences from 4758+ practitioners. In: 2023 IEEE/ACM 2nd International Conference on AI Engineering–Software Engineering for AI (CAIN). IEEE, 2023. p. 171-183. ;
Api misuse detection method based on transformer;YANG, Jingbo, REN, Jian, et WU, Wenjun. Api misuse detection method based on transformer. In: 2022 IEEE 22nd International Conference on Software Quality, Reliability and Security (QRS). IEEE, 2022. p. 958-969. ;
